Well,OD,Time_h,Type,Concentration,Sample,Antibiotic,Lineage,Experiment,Plate,blank_mean,OD_blanked,sample_group,replicate
B2,0.571,16,sample,0.006,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.48066666666666663,N-lines,1
B3,0.203,16,sample,0.016,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.11266666666666668,N-lines,1
B4,0.091,16,sample,0.047,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B5,0.091,16,sample,0.125,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B6,0.092,16,sample,0.38,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,N-lines,1
B7,0.091,16,sample,1,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B8,0.09,16,sample,2,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-3.3333333333333826e-4,N-lines,1
B9,0.091,16,sample,4,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B10,0.091,16,sample,8,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B11,0.091,16,sample,16,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,N-lines,1
B12,0.092,16,sample,32,NA1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,N-lines,1
C1,0.276,16,sample,0.002,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.1856666666666667,M-lines,1
C2,0.355,16,sample,0.006,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.26466666666666666,M-lines,1
C3,0.443,16,sample,0.016,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.3526666666666667,M-lines,1
