Well,Type,Concentration,Sample,Antibiotic,OD_t0,OD_t16,OD_t24,Plate,Experiment,OD_t0_blanked,OD_t16_blanked,OD_t24_blanked,growth_16h,growth_24h,well_type
H2,sample,0.006,M2,MRP,0.09,0.503,0.513,Plate1,Exp1,-3.3333333333333826e-4,0.4126666666666667,0.42400000000000004,0.41300000000000003,0.4243333333333334,treatment
H3,sample,0.016,M2,MRP,0.093,0.607,0.579,Plate1,Exp1,0.0026666666666666644,0.5166666666666666,0.49,0.5139999999999999,0.48733333333333334,treatment
H4,sample,0.047,M2,MRP,0.091,0.627,0.522,Plate1,Exp1,6.666666666666626e-4,0.5366666666666666,0.43300000000000005,0.5359999999999999,0.4323333333333334,treatment
H5,sample,0.125,M2,MRP,0.091,0.231,0.237,Plate1,Exp1,6.666666666666626e-4,0.14066666666666666,0.148,0.14,0.14733333333333332,treatment
H6,sample,0.38,M2,MRP,0.091,0.09,0.091,Plate1,Exp1,6.666666666666626e-4,-3.3333333333333826e-4,0.0020000000000000018,-0.0010000000000000009,0.0013333333333333391,treatment
H7,sample,1,M2,MRP,0.092,0.105,0.09,Plate1,Exp1,0.0016666666666666635,0.014666666666666661,0.0010000000000000009,0.012999999999999998,-6.666666666666626e-4,treatment
H8,sample,2,M2,MRP,0.095,0.121,0.093,Plate1,Exp1,0.004666666666666666,0.03066666666666666,0.0040000000000000036,0.025999999999999995,-6.666666666666626e-4,treatment
H9,sample,4,M2,MRP,0.09,0.112,0.091,Plate1,Exp1,-3.3333333333333826e-4,0.021666666666666667,0.0020000000000000018,0.022000000000000006,0.00233333333333334,treatment
H10,sample,8,M2,MRP,0.091,0.092,0.092,Plate1,Exp1,6.666666666666626e-4,0.0016666666666666635,0.0030000000000000027,0.0010000000000000009,0.00233333333333334,treatment
H11,sample,16,M2,MRP,0.09,0.095,0.093,Plate1,Exp1,-3.3333333333333826e-4,0.004666666666666666,0.0040000000000000036,0.0050000000000000044,0.004333333333333342,treatment
H12,sample,32,M2,MRP,0.095,0.091,0.091,Plate1,Exp1,0.004666666666666666,6.666666666666626e-4,0.0020000000000000018,-0.0040000000000000036,-0.0026666666666666644,treatment
A1,blank,NA,NA,MRP,0.088,0.088,0.088,Plate2,Exp1,0,0,-3.3333333333333826e-4,0,-3.3333333333333826e-4,blank
A2,blank,NA,NA,MRP,0.088,0.088,0.089,Plate2,Exp1,0,0,6.666666666666626e-4,0,6.666666666666626e-4,blank
A3,blank,NA,NA,MRP,0.088,0.088,0.088,Plate2,Exp1,0,0,-3.3333333333333826e-4,0,-3.3333333333333826e-4,blank
A4,empty,NA,NA,MRP,0.092,0.09,0.095,Plate2,Exp1,0.0040000000000000036,0.0020000000000000018,0.006666666666666668,-0.0020000000000000018,0.0026666666666666644,empty
A5,empty,NA,NA,MRP,0.09,0.091,0.09,Plate2,Exp1,0.0020000000000000018,0.0030000000000000027,0.0016666666666666635,0.0010000000000000009,-3.3333333333333826e-4,empty
A6,empty,NA,NA,MRP,0.09,0.091,0.09,Plate2,Exp1,0.0020000000000000018,0.0030000000000000027,0.0016666666666666635,0.0010000000000000009,-3.3333333333333826e-4,empty
A7,empty,NA,NA,MRP,0.09,0.09,0.09,Plate2,Exp1,0.0020000000000000018,0.0020000000000000018,0.0016666666666666635,0,-3.3333333333333826e-4,empty
A8,empty,NA,NA,MRP,0.091,0.09,0.091,Plate2,Exp1,0.0030000000000000027,0.0020000000000000018,0.0026666666666666644,-0.0010000000000000009,-3.3333333333333826e-4,empty
A9,empty,NA,NA,MRP,0.091,0.093,0.092,Plate2,Exp1,0.0030000000000000027,0.0050000000000000044,0.0036666666666666653,0.0020000000000000018,6.666666666666626e-4,empty
A10,sample,0,M3,MRP,0.096,0.532,0.603,Plate2,Exp1,0.008000000000000007,0.44400000000000006,0.5146666666666666,0.43600000000000005,0.5066666666666666,growth_control
A11,sample,0,M3,MRP,0.092,0.389,0.484,Plate2,Exp1,0.0040000000000000036,0.30100000000000005,0.39566666666666667,0.29700000000000004,0.39166666666666666,growth_control
A12,sample,0,M3,MRP,0.089,0.358,0.479,Plate2,Exp1,0.0010000000000000009,0.27,0.39066666666666666,0.269,0.38966666666666666,growth_control
B1,sample,0.002,NA1,MRP,0.091,0.311,0.449,Plate2,Exp1,0.0030000000000000027,0.223,0.3606666666666667,0.22,0.3576666666666667,treatment
B2,sample,0.006,NA1,MRP,0.091,0.381,0.47,Plate2,Exp1,0.0030000000000000027,0.29300000000000004,0.38166666666666665,0.29000000000000004,0.37866666666666665,treatment
B3,sample,0.016,NA1,MRP,0.09,0.271,0.332,Plate2,Exp1,0.0020000000000000018,0.18300000000000002,0.2436666666666667,0.18100000000000002,0.2416666666666667,treatment
B4,sample,0.047,NA1,MRP,0.092,0.099,0.093,Plate2,Exp1,0.0040000000000000036,0.01100000000000001,0.004666666666666666,0.007000000000000006,6.666666666666626e-4,treatment
B5,sample,0.125,NA1,MRP,0.092,0.102,0.095,Plate2,Exp1,0.0040000000000000036,0.013999999999999999,0.006666666666666668,0.009999999999999995,0.0026666666666666644,treatment
B6,sample,0.38,NA1,MRP,0.091,0.092,0.092,Plate2,Exp1,0.0030000000000000027,0.0040000000000000036,0.0036666666666666653,0.0010000000000000009,6.666666666666626e-4,treatment
B7,sample,1,NA1,MRP,0.092,0.09,0.093,Plate2,Exp1,0.0040000000000000036,0.0020000000000000018,0.004666666666666666,-0.0020000000000000018,6.666666666666626e-4,treatment
B8,sample,2,NA1,MRP,0.091,0.091,0.091,Plate2,Exp1,0.0030000000000000027,0.0030000000000000027,0.0026666666666666644,0,-3.3333333333333826e-4,treatment
B9,sample,4,NA1,MRP,0.092,0.093,0.091,Plate2,Exp1,0.0040000000000000036,0.0050000000000000044,0.0026666666666666644,0.0010000000000000009,-0.0013333333333333391,treatment
B10,sample,8,NA1,MRP,0.09,0.113,0.09,Plate2,Exp1,0.0020000000000000018,0.02500000000000001,0.0016666666666666635,0.023000000000000007,-3.3333333333333826e-4,treatment
B11,sample,16,NA1,MRP,0.092,0.111,0.092,Plate2,Exp1,0.0040000000000000036,0.023000000000000007,0.0036666666666666653,0.019000000000000003,-3.3333333333333826e-4,treatment
B12,sample,32,NA1,MRP,0.091,0.091,0.091,Plate2,Exp1,0.0030000000000000027,0.0030000000000000027,0.0026666666666666644,0,-3.3333333333333826e-4,treatment
C1,sample,0.002,M3,MRP,0.091,0.392,0.471,Plate2,Exp1,0.0030000000000000027,0.30400000000000005,0.38266666666666665,0.30100000000000005,0.37966666666666665,treatment
C2,sample,0.006,M3,MRP,0.091,0.662,0.523,Plate2,Exp1,0.0030000000000000027,0.5740000000000001,0.4346666666666667,0.5710000000000001,0.4316666666666667,treatment
C3,sample,0.016,M3,MRP,0.092,0.819,0.572,Plate2,Exp1,0.0040000000000000036,0.731,0.48366666666666663,0.727,0.47966666666666663,treatment
C4,sample,0.047,M3,MRP,0.092,0.563,0.405,Plate2,Exp1,0.0040000000000000036,0.475,0.3166666666666667,0.471,0.3126666666666667,treatment
C5,sample,0.125,M3,MRP,0.091,0.863,0.449,Plate2,Exp1,0.0030000000000000027,0.775,0.3606666666666667,0.772,0.3576666666666667,treatment
C6,sample,0.38,M3,MRP,0.092,0.131,0.093,Plate2,Exp1,0.0040000000000000036,0.04300000000000001,0.004666666666666666,0.03900000000000001,6.666666666666626e-4,treatment
C7,sample,1,M3,MRP,0.091,0.134,0.091,Plate2,Exp1,0.0030000000000000027,0.04600000000000001,0.0026666666666666644,0.04300000000000001,-3.3333333333333826e-4,treatment
C8,sample,2,M3,MRP,0.096,0.132,0.092,Plate2,Exp1,0.008000000000000007,0.04400000000000001,0.0036666666666666653,0.036000000000000004,-0.004333333333333342,treatment
C9,sample,4,M3,MRP,0.093,0.133,0.092,Plate2,Exp1,0.0050000000000000044,0.04500000000000001,0.0036666666666666653,0.04000000000000001,-0.0013333333333333391,treatment
C10,sample,8,M3,MRP,0.093,0.127,0.091,Plate2,Exp1,0.0050000000000000044,0.03900000000000001,0.0026666666666666644,0.034,-0.00233333333333334,treatment
C11,sample,16,M3,MRP,0.092,0.122,0.091,Plate2,Exp1,0.0040000000000000036,0.034,0.0026666666666666644,0.03,-0.0013333333333333391,treatment
C12,sample,32,M3,MRP,0.093,0.091,0.094,Plate2,Exp1,0.0050000000000000044,0.0030000000000000027,0.005666666666666667,-0.0020000000000000018,6.666666666666626e-4,treatment
D1,sample,0.002,M3,MRP,0.097,0.574,0.57,Plate2,Exp1,0.009000000000000008,0.486,0.48166666666666663,0.477,0.4726666666666666,treatment
D2,sample,0.006,M3,MRP,0.091,0.655,0.553,Plate2,Exp1,0.0030000000000000027,0.5670000000000001,0.46466666666666673,0.5640000000000001,0.4616666666666667,treatment
D3,sample,0.016,M3,MRP,0.089,0.759,0.554,Plate2,Exp1,0.0010000000000000009,0.671,0.46566666666666673,0.67,0.46466666666666673,treatment
D4,sample,0.047,M3,MRP,0.093,0.787,0.546,Plate2,Exp1,0.0050000000000000044,0.6990000000000001,0.4576666666666667,0.6940000000000001,0.4526666666666667,treatment
D5,sample,0.125,M3,MRP,0.091,0.441,0.281,Plate2,Exp1,0.0030000000000000027,0.353,0.1926666666666667,0.35,0.1896666666666667,treatment
D6,sample,0.38,M3,MRP,0.094,0.131,0.091,Plate2,Exp1,0.006000000000000005,0.04300000000000001,0.0026666666666666644,0.037000000000000005,-0.003333333333333341,treatment
D7,sample,1,M3,MRP,0.091,0.135,0.091,Plate2,Exp1,0.0030000000000000027,0.047000000000000014,0.0026666666666666644,0.04400000000000001,-3.3333333333333826e-4,treatment
D8,sample,2,M3,MRP,0.091,0.136,0.091,Plate2,Exp1,0.0030000000000000027,0.048000000000000015,0.0026666666666666644,0.04500000000000001,-3.3333333333333826e-4,treatment
D9,sample,4,M3,MRP,0.094,0.139,0.092,Plate2,Exp1,0.006000000000000005,0.05100000000000002,0.0036666666666666653,0.04500000000000001,-0.00233333333333334,treatment
D10,sample,8,M3,MRP,0.093,0.133,0.092,Plate2,Exp1,0.0050000000000000044,0.04500000000000001,0.0036666666666666653,0.04000000000000001,-0.0013333333333333391,treatment
D11,sample,16,M3,MRP,0.092,0.127,0.094,Plate2,Exp1,0.0040000000000000036,0.03900000000000001,0.005666666666666667,0.035,0.0016666666666666635,treatment
D12,sample,32,M3,MRP,0.095,0.091,0.091,Plate2,Exp1,0.007000000000000006,0.0030000000000000027,0.0026666666666666644,-0.0040000000000000036,-0.004333333333333342,treatment
E1,sample,0.002,M3,MRP,0.092,0.317,0.433,Plate2,Exp1,0.0040000000000000036,0.229,0.3446666666666667,0.225,0.3406666666666667,treatment
E2,sample,0.006,M3,MRP,0.091,0.332,0.426,Plate2,Exp1,0.0030000000000000027,0.24400000000000002,0.33766666666666667,0.24100000000000002,0.33466666666666667,treatment
E3,sample,0.016,M3,MRP,0.089,0.509,0.532,Plate2,Exp1,0.0010000000000000009,0.42100000000000004,0.4436666666666667,0.42000000000000004,0.4426666666666667,treatment
E4,sample,0.047,M3,MRP,0.092,0.484,0.493,Plate2,Exp1,0.0040000000000000036,0.396,0.4046666666666667,0.392,0.40066666666666667,treatment
E5,sample,0.125,M3,MRP,0.097,0.329,0.27,Plate2,Exp1,0.009000000000000008,0.24100000000000002,0.1816666666666667,0.232,0.1726666666666667,treatment
E6,sample,0.38,M3,MRP,0.091,0.117,0.092,Plate2,Exp1,0.0030000000000000027,0.029000000000000012,0.0036666666666666653,0.02600000000000001,6.666666666666626e-4,treatment
E7,sample,1,M3,MRP,0.092,0.121,0.097,Plate2,Exp1,0.0040000000000000036,0.033,0.00866666666666667,0.028999999999999998,0.004666666666666666,treatment
E8,sample,2,M3,MRP,0.092,0.12,0.092,Plate2,Exp1,0.0040000000000000036,0.032,0.0036666666666666653,0.027999999999999997,-3.3333333333333826e-4,treatment
E9,sample,4,M3,MRP,0.093,0.115,0.092,Plate2,Exp1,0.0050000000000000044,0.02700000000000001,0.0036666666666666653,0.022000000000000006,-0.0013333333333333391,treatment
E10,sample,8,M3,MRP,0.095,0.105,0.092,Plate2,Exp1,0.007000000000000006,0.017,0.0036666666666666653,0.009999999999999995,-0.003333333333333341,treatment
